N,Z,A,Element,Mass Excess (keV),ME Error Margin,ME Calculated?,Binding Energy Per Nucleon (keV),BEN Error Margin,BEN Calculated?,Beta Decay Energy (keV),BDE Error Margin,BDE Calculated?,Atomic Mass (u),AM Error Margin,AM Calculated?
1,0,1,n,8071.31806,0.00044,calculated,0.0,0.0,calculated,782.347,0.0004,calculated,1.0086649159,0.00047,calculated
0,1,1,H,7288.971064,1.3e-05,calculated,0.0,0.0,calculated,,,absent,1.007825031898,1.4e-05,calculated
1,1,2,H,13135.722895,1.5e-05,calculated,1112.2831,0.0002,calculated,,,absent,2.014101777844,1.5e-05,calculated
2,1,3,H,14949.8109,8e-05,calculated,2827.2654,0.0003,calculated,18.59202,6e-05,calculated,3.01604928132,8e-05,calculated
1,2,3,He,14931.21888,6e-05,calculated,2572.68044,0.00015,calculated,-13736.0,2000.0,estimated,3.01602932197,6e-05,calculated
0,3,3,Li,28667.0,2000.0,estimated,-2267.0,667.0,estimated,,,absent,3.030775,2147.0,estimated
3,1,4,H,24621.129,100.0,calculated,1720.4491,25.0,calculated,22196.2131,100.0,calculated,4.026431867,107.354,calculated
2,2,4,He,2424.91587,0.00015,calculated,7073.9156,0.0002,calculated,-22898.274,212.132,calculated,4.00260325413,0.00016,calculated
1,3,4,Li,25323.19,212.132,calculated,1153.7603,53.033,calculated,,,absent,4.027185561,227.733,calculated
4,1,5,H,32892.447,89.443,calculated,1336.3592,17.8885,calculated,21661.2131,91.6515,calculated,5.035311492,96.02,calculated
3,2,5,He,11231.234,20.0,calculated,5512.1325,4.0,calculated,-447.6529,53.8516,calculated,5.012057224,21.47,calculated
2,3,5,Li,11678.887,50.0,calculated,5266.1325,10.0,calculated,-25460.0,2003.0,estimated,5.0125378,53.677,calculated
1,4,5,Be,37139.0,2003.0,estimated,18.0,401.0,estimated,,,absent,5.03987,2150.0,estimated
5,1,6,H,41875.725,254.127,calculated,961.6395,42.3545,calculated,24283.6294,254.1268,calculated,6.044955437,272.816,calculated
4,2,6,He,17592.095,0.053,calculated,4878.5199,0.0089,calculated,3505.2147,0.0532,calculated,6.018885889,0.057,calculated
3,3,6,Li,14086.88044,0.00144,calculated,5332.3312,0.0003,calculated,-4288.1534,5.4478,calculated,6.01512288742,0.00155,calculated
2,4,6,Be,18375.034,5.448,calculated,4487.2478,0.908,calculated,-28945.0,2003.0,estimated,6.0197264090000004,5.848,calculated
1,5,6,B,47320.0,2003.0,estimated,-467.0,334.0,estimated,,,absent,6.0508,2150.0,estimated
6,1,7,H,49135.0,1004.0,estimated,940.0,143.0,estimated,23062.0,1004.0,estimated,7.052749,1078.0,estimated
5,2,7,He,26073.128,7.559,calculated,4123.0578,1.0799,calculated,11166.0229,7.5595,calculated,7.027990652,8.115,calculated
4,3,7,Li,14907.10463,0.00419,calculated,5606.4401,0.0006,calculated,-861.893,0.0707,calculated,7.01600343426,0.0045,calculated
3,4,7,Be,15768.998,0.071,calculated,5371.5487,0.0101,calculated,-11907.5551,25.1504,calculated,7.016928714,0.076,calculated
2,5,7,B,27676.553,25.15,calculated,3558.7055,3.5929,calculated,,,absent,7.029712,27.0,calculated
6,2,8,He,31609.683,0.089,calculated,3924.521,0.0111,calculated,10663.8784,0.1005,calculated,8.033934388,0.095,calculated
5,3,8,Li,20945.805,0.047,calculated,5159.7124,0.0059,calculated,16004.1329,0.0591,calculated,8.022486244,0.05,calculated
4,4,8,Be,4941.672,0.035,calculated,7062.4356,0.0044,calculated,-17979.8973,1.0005,calculated,8.005305102,0.037,calculated
3,5,8,B,22921.569,1.0,calculated,4717.1551,0.125,calculated,-12142.7002,18.2704,calculated,8.024607315,1.073,calculated
2,6,8,C,35064.269,18.243,calculated,3101.5242,2.2804,calculated,,,absent,8.037643039,19.584,calculated
7,2,9,He,40935.826,46.816,calculated,3349.038,5.2018,calculated,15980.9213,46.8169,calculated,9.043946414,50.259,calculated
6,3,9,Li,24954.905,0.186,calculated,5037.7685,0.0207,calculated,13606.4541,0.2014,calculated,9.026790191,0.2,calculated
5,4,9,Be,11348.451,0.076,calculated,6462.6693,0.0085,calculated,-1068.0349,0.8994,calculated,9.012183062,0.082,calculated
4,5,9,B,12416.486,0.903,calculated,6257.0713,0.1003,calculated,-16494.4854,2.3195,calculated,9.013329645,0.969,calculated
3,6,9,C,28910.971,2.137,calculated,4337.4233,0.2374,calculated,,,absent,9.031037202,2.293,calculated
8,2,10,He,49197.147,92.848,calculated,2995.134,9.2848,calculated,16144.5191,93.7152,calculated,10.052815306,99.676,calculated
7,3,10,Li,33052.628,12.721,calculated,4531.3512,1.2721,calculated,20445.1411,12.7216,calculated,10.035483453,13.656,calculated
6,4,10,Be,12607.487,0.081,calculated,6497.6306,0.0081,calculated,556.8759,0.0822,calculated,10.013534692,0.086,calculated
